title,type,question,A,B,C,D,E,F,answer,image
Vertebrate / Vertebrata,checkbox,Poikilothermic / Poikiloterma,Birds / Burung,Reptiles / Reptilia,Amphibians / Amfibia,Mammals / Mamalia,Fish / Ikan,,"B,C,E",
,checkbox,Homeothermic / Homoioterma,Birds / Burung,Reptiles / Reptilia,Amphibians / Amfibia,Mammals / Mamalia,Fish / Ikan,,"A,D",
,checkbox,Lay eggs / Bertelur,Birds / Burung,Reptiles / Reptilia,Amphibians / Amfibia,Mammals / Mamalia,Fish / Ikan,,"A,B,C,E",
,radio,Give birth to young / Melahirkan anak,Birds / Burung,Reptiles / Reptilia,Amphibians / Amfibia,Mammals / Mamalia,Fish / Ikan,,D,
,checkbox,Internal fertilisation / Persenyawaan dalam,Birds / Burung,Reptiles / Reptilia,Amphibians / Amfibia,Mammals / Mamalia,Fish / Ikan,,"A,B,D",
,checkbox,External fertilisation / Persenyawaan luar,Birds / Burung,Reptiles / Reptilia,Amphibians / Amfibia,Mammals / Mamalia,Fish / Ikan,,"C,E",
,checkbox,Breathe through lungs / Bernafas melalui peparu,Birds / Burung,Reptiles / Reptilia,Amphibians / Amfibia,Mammals / Mamalia,Fish / Ikan,,"A,B,C,D",
,radio,Breathe through moist skin / Bernafas melalui kulit yang lembap,Birds / Burung,Reptiles / Reptilia,Amphibians / Amfibia,Mammals / Mamalia,Fish / Ikan,,C,
,radio,Breathe through gills / Bernafas melalui insang,Birds / Burung,Reptiles / Reptilia,Amphibians / Amfibia,Mammals / Mamalia,Fish / Ikan,,E,
,radio,Covered with fur or hair / Badan dilitupi bulu dan rambut,Birds / Burung,Reptiles / Reptilia,Amphibians / Amfibia,Mammals / Mamalia,Fish / Ikan,,D,
,radio,Covered with feathers / Badan dilitupi bulu pelepah,Birds / Burung,Reptiles / Reptilia,Amphibians / Amfibia,Mammals / Mamalia,Fish / Ikan,,A,
,radio,Covered in hard and slimy scales / Badan dilitupi sisik keras yang berlendir,Birds / Burung,Reptiles / Reptilia,Amphibians / Amfibia,Mammals / Mamalia,Fish / Ikan,,E,
,radio,Covered with moist skin / Badan dilitupi kulit yang lembap,Birds / Burung,Reptiles / Reptilia,Amphibians / Amfibia,Mammals / Mamalia,Fish / Ikan,,C,
,radio,Have scales and hard skin / Bersisik dan berkulit keras,Birds / Burung,Reptiles / Reptilia,Amphibians / Amfibia,Mammals / Mamalia,Fish / Ikan,,B,
,radio,Have a pair of scaly feet / Mempunyai sepasang kaki yang bersisik,Birds / Burung,Reptiles / Reptilia,Amphibians / Amfibia,Mammals / Mamalia,Fish / Ikan,,A,
