title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Stars and Galaxies in the Universe,checkbox,Types of galaxies / Jenis galaksi 有哪些？,Spiral / Berpirin,Elliptical / Elip,Irregular / Tidak searagam,Triangular / Segi tiga,Square / Segi empat,Hexagonal / Segi enam,,,,,"A,B,C",
,checkbox,哪些是 Spiral galaxies / Galaksi berpilin ?,Andromeda,The Milky Way / Bima Sakti,Ursa Major / Ursa Mayor,Messier 87,Small Magellanic Cloud / Magellan kecil,Large Magellanic Cloud / Magellan besar,,,,,"A,B",
,checkbox,哪些是 Elliptical galaxies / Galaksi elips ?,Andromeda,The Milky Way / Bima Sakti,Ursa Major / Ursa Mayor,Messier 87,Small Magellanic Cloud / Magellan kecil,Large Magellanic Cloud / Magellan besar,,,,,"C,D",
,checkbox,哪些是 Irregular galaxies / Galaksi tidak seragam ?,Andromeda,The Milky Way / Bima Sakti,Ursa Major / Ursa Mayor,Messier 87,Small Magellanic Cloud / Magellan kecil,Large Magellanic Cloud / Magellan besar,,,,,"E,F",
,checkbox,Nebulae / Nebula 会形成,Small-sized star / Bintang bersaiz kecil,Medium-sized star / Bintang bersaiz sederhana,Large star / Bintang besar,Super-large star / Bintang super besar,,,,,,,"B,C,D",
,checkbox,Nebula 有什么气体？,Hydrogen / Hidrogen,Helium,Oxygen / Oksigen,Nitrogen,,,,,,,"A,B",
,radio,Medium-sized star / Bintang bersaiz sederhana 过后是,Red giant / Raksasa merah,Supergiant / Super raksasa,Supernova,White dwarf / Kerdil putih,Neutron star / Bintang neutron,Black hole / Lohong hitam,,,,,A,
,radio,Medium-sized star / Bintang bersaiz sederhana 最后会形成,Red giant / Raksasa merah,Supergiant / Super raksasa,Supernova,White dwarf / Kerdil putih,Neutron star / Bintang neutron,Black hole / Lohong hitam,,,,,D,
,radio,Large star / Bintang besar 最后会形成,Red giant / Raksasa merah,Supergiant / Super raksasa,Supernova,White dwarf / Kerdil putih,Neutron star / Bintang neutron,Black hole / Lohong hitam,,,,,E,
,radio,Super-large star / Bintang super besar 最后会形成,Red giant / Raksasa merah,Supergiant / Super raksasa,Supernova,White dwarf / Kerdil putih,Neutron star / Bintang neutron,Black hole / Lohong hitam,,,,,F,
,radio,Red giant / Raksasa merah 继续变大会形成,Red giant / Raksasa merah,Supergiant / Super raksasa,Supernova,White dwarf / Kerdil putih,Neutron star / Bintang neutron,Black hole / Lohong hitam,,,,,B,
,radio,Supergiant / Super raksasa 爆炸会形成,Red giant / Raksasa merah,Supergiant / Super raksasa,Supernova,White dwarf / Kerdil putih,Neutron star / Bintang neutron,Black hole / Lohong hitam,,,,,C,
,checkbox,Supernova 有可能形成,Red giant / Raksasa merah,Supergiant / Super raksasa,Supernova,White dwarf / Kerdil putih,Neutron star / Bintang neutron,Black hole / Lohong hitam,,,,,"E,F",
,checkbox,我们可以根据什么来分类恒星？,Colour / Warna,Size / Saiz,Distance / Jarak,Brightness / Kecerahan,Temperature / Suhu,Shape / Bentuk,Ring / Cincin,Moon / Bulan,Name / Nama,Age / Umur,"A,B,C,D,E",
,text,最热的 Star / BIntang 什么颜色？,,,,,,,,,,,"blue,biru",
,text,最冷的 Star / BIntang 什么颜色？,,,,,,,,,,,"red,merah",
,text,Star / Bintang 通过什么过程发光发热？,,,,,,,,,,,"nuclear reaction,tindak balas nukleus",
