title,type,question,A,B,C,D,E,F,G,answer,image
"13.1 Other Objects in the Solar System, such as Meteoroids,Asteroids and Comets",radio,a floating piece of stone and metal that moves in space / serpihan batu dan logam kecil yang terapung dan bergerak di angkasa,Meteoroid,Asteroid,Comet / Komet,Meteor,Meteorite / Meteorit,,,A,
,radio,"a small body made up of a mixture of ice, gas and frozen dust, it travels around the Sun in its own orbit / jasad kecil yang terdiri daripada campuran ais, gas dan debu beku yang bergerak mengelilingi Matahari mengikut orbitnya sendiri",Meteoroid,Asteroid,Comet / Komet,Meteor,Meteorite / Meteorit,,,C,
,radio,"Molecular friction between air and the it produces heat until it burns, resulting in a streak of light / Geseran molekul antara udara dengan ia menghasilkan haba sehingga terbakar dan terhasil coretan cahaya",Meteoroid,Asteroid,Comet / Komet,Meteor,Meteorite / Meteorit,,,D,
,radio,The meteors that can reach the Earth / meteor yang dapat sampai ke Bumi,Meteoroid,Asteroid,Comet / Komet,Meteor,Meteorite / Meteorit,,,E,
,radio,a large metal and rocky body that travels around the Sun in its own orbit / batuan besar dan logam yang beredar mengelilingi Matahari mengikut orbitnya sendiri,Meteoroid,Asteroid,Comet / Komet,Meteor,Meteorite / Meteorit,,,B,
,checkbox,Made up of stones and metals such as iron and nickel / Terbina daripada batuan dan logam seperti besi dan nikel,Meteoroid,Asteroid,Comet / Komet,,,,,"A,B",
,radio,Originates from fragments of asteroids and comets / Berasal daripada serpihan asteroid dan komet,Meteoroid,Asteroid,Comet / Komet,,,,,A,
,radio,from 10 μm to 1 m / antara 10 μm hingga 1 m,Meteoroid,Asteroid,Comet / Komet,,,,,A,
,radio,from 1 m to 1 000 km / dari 1 m hingga 1 000 km,Meteoroid,Asteroid,Comet / Komet,,,,,B,
,radio,form an asteroid belt / membentuk jalur asteroid,Meteoroid,Asteroid,Comet / Komet,,,,,B,
,radio,also known as small planets / juga disebut sebagai planet kecil,Meteoroid,Asteroid,Comet / Komet,,,,,B,
,radio,"Consists of two main parts, a head and a tail / Terdiri daripada dua bahagian utama, iaitu kepala dan ekor",Meteoroid,Asteroid,Comet / Komet,,,,,C,
,radio,"Comprises gas and water that freeze into ice, dust and rocky particles / Terbina daripada gas dan air yang membeku menjadi ais dan sedikit debu dan batuan",Meteoroid,Asteroid,Comet / Komet,,,,,C,
,checkbox,哪些不在 asteroid belt / lingkaran asteroid ?,Apollo,Amor,Aten,Ceres,Pallas,Juno,Vesta,"A,B,C",
