title,type,question,A,B,C,D,E,F,G,H,I,J,K,answer,image
Digestive System Level 1,radio,a是什么器官,mouth / mulut,oesophagus / esofagus,liver / hati,stoamch / perut,duodenum,gall bladder / pundi hempedu,pancreas / pankreas,small intestine / usus kecil,large intestine / usus besar,rectum / rektum,anus / dubur,A,digestive_system.jpg
,radio,b是什么器官,mouth / mulut,oesophagus / esofagus,liver / hati,stoamch / perut,duodenum,gall bladder / pundi hempedu,pancreas / pankreas,small intestine / usus kecil,large intestine / usus besar,rectum / rektum,anus / dubur,B,digestive_system.jpg
,radio,c是什么器官,mouth / mulut,oesophagus / esofagus,liver / hati,stoamch / perut,duodenum,gall bladder / pundi hempedu,pancreas / pankreas,small intestine / usus kecil,large intestine / usus besar,rectum / rektum,anus / dubur,C,digestive_system.jpg
,radio,d是什么器官,mouth / mulut,oesophagus / esofagus,liver / hati,stoamch / perut,duodenum,gall bladder / pundi hempedu,pancreas / pankreas,small intestine / usus kecil,large intestine / usus besar,rectum / rektum,anus / dubur,D,digestive_system.jpg
,radio,e是什么器官,mouth / mulut,oesophagus / esofagus,liver / hati,stoamch / perut,duodenum,gall bladder / pundi hempedu,pancreas / pankreas,small intestine / usus kecil,large intestine / usus besar,rectum / rektum,anus / dubur,E,digestive_system.jpg
,radio,f是什么器官,mouth / mulut,oesophagus / esofagus,liver / hati,stoamch / perut,duodenum,gall bladder / pundi hempedu,pancreas / pankreas,small intestine / usus kecil,large intestine / usus besar,rectum / rektum,anus / dubur,F,digestive_system.jpg
,radio,g是什么器官,mouth / mulut,oesophagus / esofagus,liver / hati,stoamch / perut,duodenum,gall bladder / pundi hempedu,pancreas / pankreas,small intestine / usus kecil,large intestine / usus besar,rectum / rektum,anus / dubur,G,digestive_system.jpg
,radio,h是什么器官,mouth / mulut,oesophagus / esofagus,liver / hati,stoamch / perut,duodenum,gall bladder / pundi hempedu,pancreas / pankreas,small intestine / usus kecil,large intestine / usus besar,rectum / rektum,anus / dubur,H,digestive_system.jpg
,radio,i是什么器官,mouth / mulut,oesophagus / esofagus,liver / hati,stoamch / perut,duodenum,gall bladder / pundi hempedu,pancreas / pankreas,small intestine / usus kecil,large intestine / usus besar,rectum / rektum,anus / dubur,I,digestive_system.jpg
,radio,j是什么器官,mouth / mulut,oesophagus / esofagus,liver / hati,stoamch / perut,duodenum,gall bladder / pundi hempedu,pancreas / pankreas,small intestine / usus kecil,large intestine / usus besar,rectum / rektum,anus / dubur,J,digestive_system.jpg
,radio,k是什么器官,mouth / mulut,oesophagus / esofagus,liver / hati,stoamch / perut,duodenum,gall bladder / pundi hempedu,pancreas / pankreas,small intestine / usus kecil,large intestine / usus besar,rectum / rektum,anus / dubur,K,digestive_system.jpg
