title,type,question,A,B,C,D,E,F,G,H,I,J,K,answer,image
Digestive System Level 2,radio,Amylase / Amilase 消化什么？,Starch / Kanji,Protein,Fat / Lemak,,,,,,,,,A,
,radio,Lipase 消化什么？,Starch / Kanji,Protein,Fat / Lemak,,,,,,,,,C,
,radio,Protease 消化什么？,Starch / Kanji,Protein,Fat / Lemak,,,,,,,,,B,
,radio,哪个是amylase / amilase的消化过程？,Starch / Kanji → Glucose / Glukosa,Protein → Amino acid / Asid amino,Fat → Fatty acid + Glycerol / Lemak → Asid lemak + Gliserol,,,,,,,,,A,
,radio,哪个是Protease的消化过程？,Starch / Kanji → Glucose / Glukosa,Protein → Amino acid / Asid amino,Fat → Fatty acid + Glycerol / Lemak → Asid lemak + Gliserol,,,,,,,,,B,
,radio,哪个是Lipase的消化过程？,Starch / Kanji → Glucose / Glukosa,Protein → Amino acid / Asid amino,Fat → Fatty acid + Glycerol / Lemak → Asid lemak + Gliserol,,,,,,,,,C,
,radio,Bile / Jus Hempedu 是谁做的？,Liver / Hati,Stomach / Perut,Gall Bladder / Pundi Hempedu,Pancreas / Pankreas,Duodenum,,,,,,,A,
,radio,Bile / Jus Hempedu 收在哪？,Liver / Hati,Stomach / Perut,Gall Bladder / Pundi Hempedu,Pancreas / Pankreas,Duodenum,,,,,,,C,
,checkbox,Protein 在哪里消化？,mouth / mulut,oesophagus / esofagus,liver / hati,stoamch / perut,duodenum,gall bladder / pundi hempedu,pancreas / pankreas,small intestine / usus kecil,large intestine / usus besar,rectum / rektum,anus / dubur,"D,E,H",
,checkbox,Starch / Kanji 在哪里消化？,mouth / mulut,oesophagus / esofagus,liver / hati,stoamch / perut,duodenum,gall bladder / pundi hempedu,pancreas / pankreas,small intestine / usus kecil,large intestine / usus besar,rectum / rektum,anus / dubur,"A,E,H",
,radio,Fat / Lemak 在哪里消化？,mouth / mulut,oesophagus / esofagus,liver / hati,stoamch / perut,duodenum,gall bladder / pundi hempedu,pancreas / pankreas,small intestine / usus kecil,large intestine / usus besar,rectum / rektum,anus / dubur,E,
,radio,Temporary stored faeces / Najis yang disimpan sementara,mouth / mulut,oesophagus / esofagus,liver / hati,stoamch / perut,duodenum,gall bladder / pundi hempedu,pancreas / pankreas,small intestine / usus kecil,large intestine / usus besar,rectum / rektum,anus / dubur,J,
,radio,Peristalsis 发生在,mouth / mulut,oesophagus / esofagus,liver / hati,stoamch / perut,,,,,,,,B,
