title,type,question,A,B,C,D,E,F,G,answer,image
吸收营养&排便,text,Small intestine / Usus kecil 里有什么东西可以增加小肠的面积?,,,,,,,,"villi,villus",
,checkbox,Small intestine / Usus kecil 里的绒毛有什么特点？,thin / nipis,thick / tebal,one-cell thick / setebal satu sel,one-cell thin / senipis satu sel,,,,"A,C",
,checkbox,blood capillaries / kapilari darah 吸收什么？,Glucose / Glukosa,Amino acid / Asid amino,Fatty acid + Glycerol / Asid lemak + Gliserol,,,,,"A,B",
,radio,Lacteal / Lakteal 吸收什么？,Glucose / Glukosa,Amino acid / Asid amino,Fatty acid + Glycerol / Asid lemak + Gliserol,,,,,C,
,radio,在实验的最后 distilled water / air suling 里能找到什么？,starch / kanji,glucose / glukosa,,,,,,B,diffusion.png
,radio,Assimilation of glucose is to / Asimilasi glokosa untuk,formation of new cells / pembentukan sel-sel baharu,respiration / respirasi,regulation of body temperature / pengawalan suhu badan,,,,,B,
,radio,Assimilation of amino acid is to / Asimilasi asid amino untuk,formation of new cells / pembentukan sel-sel baharu,respiration / respirasi,regulation of body temperature / pengawalan suhu badan,,,,,A,
,radio,Assimilation of fatty acid and glycerol is to / Asimilasi asid lemak dan gliserol untuk,formation of new cells / pembentukan sel-sel baharu,respiration / respirasi,regulation of body temperature / pengawalan suhu badan,,,,,C,
,text,穿过 Visking tube / tiub Visking 的过程叫,,,,,,,,"diffusion,diffuse,resapan,meresap",
,text,The process of elimination of faeces from the body is called / Proses penyingkiran tinja daripada badan disebut sebagai,,,,,,,,"defecation,penyahtinjaan",
,text,Function of large intestine / Fungsi usus besar?,,,,,,,,"reabsorption of water,penyerapan semula air",
