title,type,question,A,B,C,D,E,F,answer,image
传播方式,radio,Tuberculosis / Tuberkulosis 属于,Airborne diseases / Jangkitan bawaan udara,Waterborne diseases / Penyakit bawaan Air,Infection through contact / Jangkitan melalui sentuhan,Infection through vector / Jangkitan melalui vektor,,,A,
,radio,Flu / Selesema 属于,Airborne diseases / Jangkitan bawaan udara,Waterborne diseases / Penyakit bawaan Air,Infection through contact / Jangkitan melalui sentuhan,Infection through vector / Jangkitan melalui vektor,,,A,
,radio,Ringworm / Kurap 属于,Airborne diseases / Jangkitan bawaan udara,Waterborne diseases / Penyakit bawaan Air,Infection through contact / Jangkitan melalui sentuhan,Infection through vector / Jangkitan melalui vektor,,,C,
,radio,Tinea / Panau 属于,Airborne diseases / Jangkitan bawaan udara,Waterborne diseases / Penyakit bawaan Air,Infection through contact / Jangkitan melalui sentuhan,Infection through vector / Jangkitan melalui vektor,,,C,
,radio,Leptospirosis / Penyakit kencing tikus 属于,Airborne diseases / Jangkitan bawaan udara,Waterborne diseases / Penyakit bawaan Air,Infection through contact / Jangkitan melalui sentuhan,Infection through vector / Jangkitan melalui vektor,,,D,
,radio,SARS 属于,Airborne diseases / Jangkitan bawaan udara,Waterborne diseases / Penyakit bawaan Air,Infection through contact / Jangkitan melalui sentuhan,Infection through vector / Jangkitan melalui vektor,,,A,
,radio,Influenza A (H1N1) 属于,Airborne diseases / Jangkitan bawaan udara,Waterborne diseases / Penyakit bawaan Air,Infection through contact / Jangkitan melalui sentuhan,Infection through vector / Jangkitan melalui vektor,,,A,
,radio,Chicken pox / Cacar air 属于,Airborne diseases / Jangkitan bawaan udara,Waterborne diseases / Penyakit bawaan Air,Infection through contact / Jangkitan melalui sentuhan,Infection through vector / Jangkitan melalui vektor,,,A,
,radio,Dengue fever / Demam denggi 属于,Airborne diseases / Jangkitan bawaan udara,Waterborne diseases / Penyakit bawaan Air,Infection through contact / Jangkitan melalui sentuhan,Infection through vector / Jangkitan melalui vektor,,,D,
,radio,Malaria fever / Demam malaria 属于,Airborne diseases / Jangkitan bawaan udara,Waterborne diseases / Penyakit bawaan Air,Infection through contact / Jangkitan melalui sentuhan,Infection through vector / Jangkitan melalui vektor,,,D,
,radio,Zika fever / Demam Zika 属于,Airborne diseases / Jangkitan bawaan udara,Waterborne diseases / Penyakit bawaan Air,Infection through contact / Jangkitan melalui sentuhan,Infection through vector / Jangkitan melalui vektor,,,D,
,checkbox,Cholera / Kolera 属于,Airborne diseases / Jangkitan bawaan udara,Waterborne diseases / Penyakit bawaan Air,Infection through contact / Jangkitan melalui sentuhan,Infection through vector / Jangkitan melalui vektor,,,"B,D",
,checkbox,Typhoid / Demam kepialu 属于,Airborne diseases / Jangkitan bawaan udara,Waterborne diseases / Penyakit bawaan Air,Infection through contact / Jangkitan melalui sentuhan,Infection through vector / Jangkitan melalui vektor,,,"B,D",
,radio,Amoebic dysentry / Disentri ameba 属于,Airborne diseases / Jangkitan bawaan udara,Waterborne diseases / Penyakit bawaan Air,Infection through contact / Jangkitan melalui sentuhan,Infection through vector / Jangkitan melalui vektor,,,B,
,radio,Syphilis / Sifilis 属于,Airborne diseases / Jangkitan bawaan udara,Waterborne diseases / Penyakit bawaan Air,Infection through contact / Jangkitan melalui sentuhan,Infection through vector / Jangkitan melalui vektor,,,C,
,radio,Gonorrhoea / Gonorea 属于,Airborne diseases / Jangkitan bawaan udara,Waterborne diseases / Penyakit bawaan Air,Infection through contact / Jangkitan melalui sentuhan,Infection through vector / Jangkitan melalui vektor,,,C,
,radio,AIDS 属于,Airborne diseases / Jangkitan bawaan udara,Waterborne diseases / Penyakit bawaan Air,Infection through contact / Jangkitan melalui sentuhan,Infection through vector / Jangkitan melalui vektor,,,C,
