title,type,question,A,B,C,D,E,F,answer,image
Composition of Water,checkbox,Water / Air 有什么 element / unsur?,Hydrogen / Hidrogen,Nitrogen,Oxygen / Oksigen,Carbon / Karbon,,,"A,C",
,text,把water molecule / molekul air 分开的 process / proses 是？,,,,,,,"electrolysis,elektrolisis",
,radio,电池+ 的那边连接着哪个 electrode / elektrod?,Anode / anod,Cathode / Katod,,,,,A,
,radio,Oxygen : Hydrogen / Oksigen : Hidrogen,1:2,1:3,2:1,3:1,,,A,
,radio,Hydrogen : Oxygen /  Hidrogen : Oksigen,1:2,1:3,2:1,3:1,,,C,
,radio,电池- 的那边连接着哪个 electrode / elektrod?,Anode / anod,Cathode / Katod,,,,,B,
,radio,Anode / anod 最后会产生什么气体？,Oxygen / Oksigen,Hydrogen / Hidrogen,Nitrogen,,,,A,
,radio,Cathode / Katod 最后会产生什么气体？,Oxygen / Oksigen,Hydrogen / Hidrogen,Nitrogen,,,,B,
,radio,Dilute hydrochloric acid / Asid hidroklorik cair 有什么用？,To increase the electrical conductivity of water / Untuk meningkat kekonduksian elektrik air,To separate water into hydrogen and oxygen faster / Untuk memisahkan air kepada hidrogen dan oksigen dengan lebih cepat,To make the water acidic so electrolysis can happen / Untuk menjadikan air berasid supaya elektrolisis boleh berlaku,To produce more hydrogen gas at the cathode / Untuk menghasilkan lebih banyak gas hidrogen di katod,,,A,
,radio,如何检测是否是 oxygen / oksigen ?,test with a glowing wooden splinter / kayu uji berbara,tested with a burning wooden splinter / kayu uji bernyala,,,,,A,
,radio,"如果是 oxygen / oksigen , 会有什么反应？",ignite the wooden splinter / menyala kayu uji,extinguish the wooden splinter / memadamkan kayu uji,produce 'pop' sound / menghasilkan bunyi 'pop',,,,A,
,radio,"如果是 hydrogen / hidrogen, 会有什么反应？",ignite the wooden splinter / menyala kayu uji,extinguish the wooden splinter / memadamkan kayu uji,produce 'pop' sound / menghasilkan bunyi 'pop',,,,C,
,radio,如何检测是否是 hydrogen / hidrogen ?,test with a glowing wooden splinter / kayu uji berbara,tested with a burning wooden splinter / kayu uji bernyala,,,,,B,
