title,type,question,A,B,C,D,answer,image
Pressure,radio,哪个是压力的公式？,Pressure = Force × Area / Tekanan = Daya × Luas,Pressure = Force ÷ Area / Tekanan = Daya ÷ Luas,Pressure = Area ÷ Force / Tekanan = Luas ÷ Daya,Pressure = Mass × Gravity / Tekanan = Jisim × Graviti,B,
,radio,面积越大，压力越？,大,小,,,B,
,radio,面积越小，压力越？,大,小,,,A,
,radio,Force / Daya 越小，压力越？,大,小,,,B,
,radio,Force / Daya 越大，压力越？,大,小,,,A,
,checkbox,Factors that affect air pressure / Faktor-faktor yang mempengaruhi tekanan udara,Volume / Isi padu,Temperature / Suhu,Colour / Warna,Area / Luas,"A,B",
,radio,气压会从_____流向_____？,高气压流向低气压,低气压流向高气压,,,A,
,radio,Volume / Isi padu 变大 会导致 Air pressure / Tekanan uadara ,增加,减少,,,B,
,radio,Volume / Isi padu 变小 会导致 Air pressure / Tekanan uadara ,增加,减少,,,A,
,radio,Temperature / Suhu 增加 会导致 Air pressure / Tekanan uadara ,增加,减少,,,A,
,radio,Temperature / Suhu 减少 会导致 Air pressure / Tekanan uadara ,增加,减少,,,B,
,radio,高山的气压比较,大,小,,,B,
,radio,深海的水压比较,大,小,,,A,
