title,type,question,A,B,C,D,answer,image
Heat Flow and Thermal Equilibrium,radio,固体传热是,Conduction / Konduksian,Convection / Perolakan,Radiation / Sinaran,,A,
,radio,液体传热是,Conduction / Konduksian,Convection / Perolakan,Radiation / Sinaran,,B,
,radio,气体传热是,Conduction / Konduksian,Convection / Perolakan,Radiation / Sinaran,,B,
,radio,真空传热是,Conduction / Konduksian,Convection / Perolakan,Radiation / Sinaran,,C,
,radio,哪个传热不需要 medium ？,Conduction / Konduksian,Convection / Perolakan,Radiation / Sinaran,,C,
,radio,太阳的热如何来到地球?,Conduction / Konduksian,Convection / Perolakan,Radiation / Sinaran,,C,
,radio,早上陆地比较,热,冷,,,A,
,radio,晚上陆地比较,热,冷,,,B,
,radio,晚上海洋比较,热,冷,,,A,
,radio,晚上陆地比较,热,冷,,,B,
,radio,早上吹,Sea breeze / Bayu laut,Land breeze / Bayu darat,,,A,
,radio,晚上吹,Sea breeze / Bayu laut,Land breeze / Bayu darat,,,B,
,radio,Mercury / Merkuri 是,Heat conductor / Konduktor haba,Heat insulator / Penebat haba,,,A,
,radio,Iron / Seterika 是,Heat conductor / Konduktor haba,Heat insulator / Penebat haba,,,A,
,radio,Wood / Kayu 是,Heat conductor / Konduktor haba,Heat insulator / Penebat haba,,,B,
,radio,Oven gloves / Sarung tangan ketuhar 是,Heat conductor / Konduktor haba,Heat insulator / Penebat haba,,,B,
